,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,47380,47380,Benzine
1,2015-02-01,36781,84161,Benzine
2,2015-03-01,34149,118310,Benzine
3,2015-04-01,33901,152211,Benzine
4,2015-05-01,34261,186472,Benzine
5,2015-06-01,42356,228828,Benzine
6,2015-07-01,40220,269048,Benzine
7,2015-08-01,34842,303890,Benzine
8,2015-09-01,38695,342585,Benzine
9,2015-10-01,39180,381765,Benzine
10,2015-11-01,35898,417663,Benzine
11,2015-12-01,42344,460007,Benzine
12,2016-01-01,46419,506426,Benzine
13,2016-02-01,35998,542424,Benzine
14,2016-03-01,38900,581324,Benzine
15,2016-04-01,38444,619768,Benzine
16,2016-05-01,40324,660092,Benzine
17,2016-06-01,49799,709891,Benzine
18,2016-07-01,42516,752407,Benzine
19,2016-08-01,37704,790111,Benzine
20,2016-09-01,43446,833557,Benzine
21,2016-10-01,37994,871551,Benzine
22,2016-11-01,38712,910263,Benzine
23,2016-12-01,38229,948492,Benzine
24,2017-01-01,56996,1005488,Benzine
25,2017-02-01,40535,1046023,Benzine
26,2017-03-01,49716,1095739,Benzine
27,2017-04-01,41811,1137550,Benzine
28,2017-05-01,48840,1186390,Benzine
29,2017-06-01,54660,1241050,Benzine
30,2017-07-01,45815,1286865,Benzine
31,2017-08-01,41781,1328646,Benzine
32,2017-09-01,45938,1374584,Benzine
33,2017-10-01,45531,1420115,Benzine
34,2017-11-01,47180,1467295,Benzine
35,2017-12-01,39400,1506695,Benzine
36,2018-01-01,62217,1568912,Benzine
37,2018-02-01,42799,1611711,Benzine
38,2018-03-01,52862,1664573,Benzine
39,2018-04-01,45984,1710557,Benzine
40,2018-05-01,50763,1761320,Benzine
41,2018-06-01,61741,1823061,Benzine
42,2018-07-01,51710,1874771,Benzine
43,2018-08-01,54708,1929479,Benzine
44,2018-09-01,41858,1971337,Benzine
45,2018-10-01,42885,2014222,Benzine
46,2018-11-01,45477,2059699,Benzine
47,2018-12-01,27991,2087690,Benzine
48,2019-01-01,57817,2145507,Benzine
49,2019-02-01,43727,2189234,Benzine
50,2019-03-01,53481,2242715,Benzine
51,2019-04-01,48275,2290990,Benzine
52,2019-05-01,54135,2345125,Benzine
53,2019-06-01,55133,2400258,Benzine
54,2019-07-01,52112,2452370,Benzine
55,2019-08-01,50094,2502464,Benzine
56,2019-09-01,47567,2550031,Benzine
57,2019-10-01,50193,2600224,Benzine
58,2019-11-01,50251,2650475,Benzine
59,2019-12-01,34268,2684743,Benzine
60,2020-01-01,61426,2746169,Benzine
61,2020-02-01,46064,2792233,Benzine
62,2020-03-01,43961,2836194,Benzine
63,2020-04-01,28229,2864423,Benzine
64,2020-05-01,35631,2900054,Benzine
65,2020-06-01,49093,2949147,Benzine
66,2020-07-01,60574,3009721,Benzine
67,2020-08-01,49054,3058775,Benzine
68,2020-09-01,50818,3109593,Benzine
69,2020-10-01,53244,3162837,Benzine
70,2020-11-01,48990,3211827,Benzine
71,2020-12-01,39758,3251585,Benzine
72,2021-01-01,55120,3306705,Benzine
73,2021-02-01,41787,3348492,Benzine
74,2021-03-01,52056,3400548,Benzine
75,2021-04-01,51001,3451549,Benzine
76,2021-05-01,52438,3503987,Benzine
77,2021-06-01,60794,3564781,Benzine
78,2021-07-01,55446,3620227,Benzine
79,2021-08-01,45089,3665316,Benzine
80,2021-09-01,47433,3712749,Benzine
81,2021-10-01,47488,3760237,Benzine
82,2021-11-01,45956,3806193,Benzine
83,2021-12-01,43796,3849989,Benzine
84,2022-01-01,52007,3901996,Benzine
85,2022-02-01,42788,3944784,Benzine
86,2022-03-01,45354,3990138,Benzine
87,2022-04-01,41852,4031990,Benzine
88,2022-05-01,42477,4074467,Benzine
89,2022-06-01,48040,4122507,Benzine
90,2022-07-01,41058,4163565,Benzine
91,2022-08-01,39828,4203393,Benzine
92,2022-09-01,41090,4244483,Benzine
93,2022-10-01,12751,4257234,Benzine
