,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,13845,13845,Diesel
1,2015-02-01,9567,23412,Diesel
2,2015-03-01,12033,35445,Diesel
3,2015-04-01,10612,46057,Diesel
4,2015-05-01,10581,56638,Diesel
5,2015-06-01,13349,69987,Diesel
6,2015-07-01,11978,81965,Diesel
7,2015-08-01,10800,92765,Diesel
8,2015-09-01,11800,104565,Diesel
9,2015-10-01,12902,117467,Diesel
10,2015-11-01,13561,131028,Diesel
11,2015-12-01,19448,150476,Diesel
12,2016-01-01,13429,163905,Diesel
13,2016-02-01,11848,175753,Diesel
14,2016-03-01,14389,190142,Diesel
15,2016-04-01,12355,202497,Diesel
16,2016-05-01,11665,214162,Diesel
17,2016-06-01,15087,229249,Diesel
18,2016-07-01,11988,241237,Diesel
19,2016-08-01,10453,251690,Diesel
20,2016-09-01,12421,264111,Diesel
21,2016-10-01,12557,276668,Diesel
22,2016-11-01,13244,289912,Diesel
23,2016-12-01,12225,302137,Diesel
24,2017-01-01,17983,320120,Diesel
25,2017-02-01,13173,333293,Diesel
26,2017-03-01,17326,350619,Diesel
27,2017-04-01,12726,363345,Diesel
28,2017-05-01,15370,378715,Diesel
29,2017-06-01,17518,396233,Diesel
30,2017-07-01,14530,410763,Diesel
31,2017-08-01,13035,423798,Diesel
32,2017-09-01,14835,438633,Diesel
33,2017-10-01,15568,454201,Diesel
34,2017-11-01,15397,469598,Diesel
35,2017-12-01,10250,479848,Diesel
36,2018-01-01,22167,502015,Diesel
37,2018-02-01,16106,518121,Diesel
38,2018-03-01,18903,537024,Diesel
39,2018-04-01,15306,552330,Diesel
40,2018-05-01,15845,568175,Diesel
41,2018-06-01,17295,585470,Diesel
42,2018-07-01,15180,600650,Diesel
43,2018-08-01,13964,614614,Diesel
44,2018-09-01,12886,627500,Diesel
45,2018-10-01,15025,642525,Diesel
46,2018-11-01,15038,657563,Diesel
47,2018-12-01,8933,666496,Diesel
48,2019-01-01,18656,685152,Diesel
49,2019-02-01,13707,698859,Diesel
50,2019-03-01,15315,714174,Diesel
51,2019-04-01,13890,728064,Diesel
52,2019-05-01,14760,742824,Diesel
53,2019-06-01,15702,758526,Diesel
54,2019-07-01,13058,771584,Diesel
55,2019-08-01,11970,783554,Diesel
56,2019-09-01,10927,794481,Diesel
57,2019-10-01,11932,806413,Diesel
58,2019-11-01,12202,818615,Diesel
59,2019-12-01,9892,828507,Diesel
60,2020-01-01,14406,842913,Diesel
61,2020-02-01,11001,853914,Diesel
62,2020-03-01,11492,865406,Diesel
63,2020-04-01,6685,872091,Diesel
64,2020-05-01,6966,879057,Diesel
65,2020-06-01,9188,888245,Diesel
66,2020-07-01,11062,899307,Diesel
67,2020-08-01,9422,908729,Diesel
68,2020-09-01,10223,918952,Diesel
69,2020-10-01,10604,929556,Diesel
70,2020-11-01,10175,939731,Diesel
71,2020-12-01,7291,947022,Diesel
72,2021-01-01,32050,979072,Diesel
73,2021-02-01,30609,1009681,Diesel
74,2021-03-01,33051,1042732,Diesel
75,2021-04-01,28743,1071475,Diesel
76,2021-05-01,29443,1100918,Diesel
77,2021-06-01,31178,1132096,Diesel
78,2021-07-01,28725,1160821,Diesel
79,2021-08-01,31883,1192704,Diesel
80,2021-09-01,40334,1233038,Diesel
81,2021-10-01,59166,1292204,Diesel
82,2021-11-01,79557,1371761,Diesel
83,2021-12-01,85198,1456959,Diesel
84,2022-01-01,26860,1483819,Diesel
85,2022-02-01,17353,1501172,Diesel
86,2022-03-01,16605,1517777,Diesel
87,2022-04-01,12696,1530473,Diesel
88,2022-05-01,12963,1543436,Diesel
89,2022-06-01,13182,1556618,Diesel
90,2022-07-01,10580,1567198,Diesel
91,2022-08-01,8977,1576175,Diesel
92,2022-09-01,10187,1586362,Diesel
93,2022-10-01,2832,1589194,Diesel
