,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,252,252,LPG
1,2015-02-01,213,465,LPG
2,2015-03-01,192,657,LPG
3,2015-04-01,152,809,LPG
4,2015-05-01,178,987,LPG
5,2015-06-01,218,1205,LPG
6,2015-07-01,217,1422,LPG
7,2015-08-01,159,1581,LPG
8,2015-09-01,193,1774,LPG
9,2015-10-01,194,1968,LPG
10,2015-11-01,202,2170,LPG
11,2015-12-01,175,2345,LPG
12,2016-01-01,232,2577,LPG
13,2016-02-01,184,2761,LPG
14,2016-03-01,252,3013,LPG
15,2016-04-01,271,3284,LPG
16,2016-05-01,243,3527,LPG
17,2016-06-01,289,3816,LPG
18,2016-07-01,289,4105,LPG
19,2016-08-01,206,4311,LPG
20,2016-09-01,273,4584,LPG
21,2016-10-01,299,4883,LPG
22,2016-11-01,277,5160,LPG
23,2016-12-01,246,5406,LPG
24,2017-01-01,377,5783,LPG
25,2017-02-01,269,6052,LPG
26,2017-03-01,284,6336,LPG
27,2017-04-01,286,6622,LPG
28,2017-05-01,321,6943,LPG
29,2017-06-01,388,7331,LPG
30,2017-07-01,272,7603,LPG
31,2017-08-01,217,7820,LPG
32,2017-09-01,250,8070,LPG
33,2017-10-01,385,8455,LPG
34,2017-11-01,350,8805,LPG
35,2017-12-01,270,9075,LPG
36,2018-01-01,421,9496,LPG
37,2018-02-01,258,9754,LPG
38,2018-03-01,349,10103,LPG
39,2018-04-01,294,10397,LPG
40,2018-05-01,289,10686,LPG
41,2018-06-01,300,10986,LPG
42,2018-07-01,345,11331,LPG
43,2018-08-01,296,11627,LPG
44,2018-09-01,204,11831,LPG
45,2018-10-01,239,12070,LPG
46,2018-11-01,273,12343,LPG
47,2018-12-01,219,12562,LPG
48,2019-01-01,349,12911,LPG
49,2019-02-01,256,13167,LPG
50,2019-03-01,275,13442,LPG
51,2019-04-01,297,13739,LPG
52,2019-05-01,306,14045,LPG
53,2019-06-01,322,14367,LPG
54,2019-07-01,284,14651,LPG
55,2019-08-01,250,14901,LPG
56,2019-09-01,189,15090,LPG
57,2019-10-01,214,15304,LPG
58,2019-11-01,237,15541,LPG
59,2019-12-01,182,15723,LPG
60,2020-01-01,259,15982,LPG
61,2020-02-01,279,16261,LPG
62,2020-03-01,255,16516,LPG
63,2020-04-01,193,16709,LPG
64,2020-05-01,220,16929,LPG
65,2020-06-01,367,17296,LPG
66,2020-07-01,444,17740,LPG
67,2020-08-01,529,18269,LPG
68,2020-09-01,471,18740,LPG
69,2020-10-01,481,19221,LPG
70,2020-11-01,432,19653,LPG
71,2020-12-01,412,20065,LPG
72,2021-01-01,370,20435,LPG
73,2021-02-01,391,20826,LPG
74,2021-03-01,397,21223,LPG
75,2021-04-01,419,21642,LPG
76,2021-05-01,410,22052,LPG
77,2021-06-01,581,22633,LPG
78,2021-07-01,605,23238,LPG
79,2021-08-01,421,23659,LPG
80,2021-09-01,605,24264,LPG
81,2021-10-01,883,25147,LPG
82,2021-11-01,1392,26539,LPG
83,2021-12-01,2819,29358,LPG
84,2022-01-01,1051,30409,LPG
85,2022-02-01,747,31156,LPG
86,2022-03-01,577,31733,LPG
87,2022-04-01,302,32035,LPG
88,2022-05-01,348,32383,LPG
89,2022-06-01,542,32925,LPG
90,2022-07-01,347,33272,LPG
91,2022-08-01,269,33541,LPG
92,2022-09-01,322,33863,LPG
93,2022-10-01,69,33932,LPG
