,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,1,1,Waterstof
1,2015-03-01,3,4,Waterstof
2,2015-06-01,1,5,Waterstof
3,2015-09-01,1,6,Waterstof
4,2015-11-01,3,9,Waterstof
5,2015-12-01,9,18,Waterstof
6,2016-03-01,1,19,Waterstof
7,2016-04-01,1,20,Waterstof
8,2016-09-01,1,21,Waterstof
9,2016-10-01,3,24,Waterstof
10,2016-11-01,2,26,Waterstof
11,2016-12-01,1,27,Waterstof
12,2017-02-01,1,28,Waterstof
13,2017-05-01,2,30,Waterstof
14,2017-06-01,3,33,Waterstof
15,2017-07-01,1,34,Waterstof
16,2017-09-01,2,36,Waterstof
17,2017-12-01,2,38,Waterstof
18,2018-07-01,1,39,Waterstof
19,2018-08-01,2,41,Waterstof
20,2018-09-01,6,47,Waterstof
21,2018-10-01,4,51,Waterstof
22,2018-11-01,1,52,Waterstof
23,2018-12-01,1,53,Waterstof
24,2019-01-01,2,55,Waterstof
25,2019-02-01,4,59,Waterstof
26,2019-03-01,7,66,Waterstof
27,2019-04-01,7,73,Waterstof
28,2019-05-01,39,112,Waterstof
29,2019-06-01,10,122,Waterstof
30,2019-07-01,11,133,Waterstof
31,2019-08-01,13,146,Waterstof
32,2019-09-01,16,162,Waterstof
33,2019-10-01,10,172,Waterstof
34,2019-11-01,5,177,Waterstof
35,2019-12-01,38,215,Waterstof
36,2020-01-01,16,231,Waterstof
37,2020-02-01,7,238,Waterstof
38,2020-03-01,12,250,Waterstof
39,2020-04-01,5,255,Waterstof
40,2020-05-01,5,260,Waterstof
41,2020-06-01,11,271,Waterstof
42,2020-07-01,14,285,Waterstof
43,2020-08-01,12,297,Waterstof
44,2020-09-01,23,320,Waterstof
45,2020-10-01,11,331,Waterstof
46,2020-11-01,17,348,Waterstof
47,2020-12-01,52,400,Waterstof
48,2021-01-01,5,405,Waterstof
49,2021-02-01,4,409,Waterstof
50,2021-03-01,58,467,Waterstof
51,2021-04-01,10,477,Waterstof
52,2021-05-01,13,490,Waterstof
53,2021-06-01,15,505,Waterstof
54,2021-07-01,17,522,Waterstof
55,2021-08-01,7,529,Waterstof
56,2021-09-01,17,546,Waterstof
57,2021-10-01,25,571,Waterstof
58,2021-11-01,22,593,Waterstof
59,2021-12-01,72,665,Waterstof
60,2022-01-01,32,697,Waterstof
61,2022-02-01,10,707,Waterstof
62,2022-03-01,9,716,Waterstof
63,2022-04-01,10,726,Waterstof
64,2022-05-01,13,739,Waterstof
65,2022-06-01,56,795,Waterstof
66,2022-07-01,2,797,Waterstof
67,2022-08-01,9,806,Waterstof
68,2022-09-01,4,810,Waterstof
